30,133,3,6,15,6,14,7,13,7,12,13
30,133,5,5,13,5,12,6,12,7,12,13
30,138,5,5,15,6,12,7,12,7,12,14
30,141,4,5,15,6,14,6,13,6,12,14
30,132,5,6,13,6,12,6,12,6,11,14
30,126,5,5,14,6,12,6,11,6,11,13
30,128,5,6,13,6,12,6,12,6,12,13
30,135,5,6,14,6,13,6,13,6,12,13
30,128,5,5,11,7,11,7,11,7,11,13
30,128,4,6,13,6,13,6,13,7,12,13
30,119,2,4,11,6,11,6,10,6,10,13
30,137,5,5,14,6,13,6,12,7,12,14
30,143,6,6,17,7,14,7,13,8,12,14
30,135,4,5,15,6,13,6,13,6,12,14
30,139,6,6,14,6,14,6,13,7,12,15
30,135,3,5,14,6,13,6,13,7,13,14
30,139,7,7,14,7,13,7,13,7,13,14
30,125,4,4,15,5,13,6,11,6,11,12
30,124,5,5,12,6,12,6,11,6,10,13
30,120,4,5,13,5,12,6,11,6,11,12
30,135,5,6,14,6,14,6,13,7,12,13
30,147,4,7,16,8,13,8,12,8,12,14
30,111,3,4,11,4,10,5,10,5,10,12
30,134,4,5,14,6,13,6,13,6,12,13
30,119,3,3,12,4,11,5,11,6,11,11
30,122,4,4,13,4,13,5,12,5,11,12
30,132,3,5,16,6,13,7,12,7,12,15
50,117,2,2,9,2,8,2,8,3,8,13
50,140,1,2,11,3,10,3,9,3,9,15
50,122,1,2,10,2,9,3,8,3,8,13
50,143,1,2,12,3,11,3,10,3,10,15
50,129,2,2,10,2,10,2,9,2,9,14
50,144,1,2,10,2,10,3,9,3,9,15
50,119,2,2,9,2,9,2,8,2,8,12
50,137,2,2,10,2,9,3,9,3,9,14
50,115,1,1,11,2,9,2,9,2,8,12
50,160,2,2,12,3,11,3,10,4,10,17
60,175,1,2,11,3,11,3,9,3,8,18
60,184,3,3,11,3,10,4,9,4,9,20
60,198,2,3,15,3,11,3,10,4,10,20
60,175,1,2,12,2,10,2,10,3,9,18
60,182,1,2,12,2,11,2,11,2,11,17
60,198,2,3,15,3,13,3,12,3,12,20
60,198,2,2,11,2,11,3,11,3,10,20
60,205,2,2,13,3,12,3,10,4,10,22
60,185,2,3,12,3,12,3,9,3,9,21
60,164,2,3,12,3,11,3,9,3,8,19
60,198,2,2,12,3,12,3,11,3,10,21
60,191,1,2,15,2,12,3,11,3,10,20
60,177,2,2,11,2,11,2,11,2,11,18
60,198,1,2,15,2,11,3,10,3,9,21
60,175,1,1,12,2,11,2,10,3,10,19
60,190,1,2,12,2,11,2,11,3,11,19
60,187,2,2,11,3,11,3,11,3,10,20
60,190,1,2,12,3,12,3,11,3,11,20
60,183,2,2,11,2,11,2,10,3,10,19
60,198,3,3,11,4,11,4,11,4,10,21
60,182,2,2,12,2,12,3,10,3,10,18
60,193,2,3,10,3,10,3,10,3,10,21
60,179,2,2,10,3,10,3,10,3,10,18
60,172,1,2,13,2,10,3,9,3,9,18
60,193,2,3,12,3,11,3,11,3,10,19
60,198,1,2,14,2,12,3,11,3,11,19
60,184,2,2,10,3,10,3,9,4,9,20
60,194,2,3,11,3,11,3,11,3,11,20
60,176,2,2,11,2,11,2,10,3,9,19
60,179,1,2,12,3,10,3,10,3,9,19
60,183,2,2,12,3,12,3,11,3,10,19
60,188,1,2,13,3,11,3,11,4,10,20
60,185,2,3,12,3,10,3,9,3,9,21
60,169,1,1,12,2,11,2,11,2,10,17
60,179,3,3,10,3,10,3,10,3,9,19
60,207,2,2,12,3,12,3,11,3,11,21
60,184,3,3,12,3,12,3,11,3,10,20
60,181,1,2,11,3,11,3,10,3,10,19
60,178,2,2,13,2,12,2,11,3,11,18
60,183,2,2,11,2,11,3,10,3,10,19
60,188,2,2,13,2,12,3,11,3,10,19
60,174,1,1,12,1,10,2,10,2,10,18
60,186,1,1,11,2,11,3,10,3,10,19
60,195,2,2,13,3,12,3,12,3,11,20
60,182,2,2,14,2,14,2,12,3,10,18
60,205,2,3,13,3,11,4,11,4,11,21
60,183,1,1,10,2,10,2,10,2,10,19
60,177,1,1,12,2,10,3,10,3,10,17
60,163,1,2,12,2,10,3,10,3,10,17
60,204,1,2,12,2,12,3,12,3,12,21
60,183,2,2,12,2,11,3,11,3,10,19
65,434,5,8,20,9,18,9,17,9,17,36
65,371,5,5,19,6,18,7,17,7,17,32
65,390,6,6,22,6,18,6,17,7,16,33
65,416,6,7,19,7,19,8,18,8,18,35
65,409,7,7,24,8,20,8,18,9,17,33
65,415,6,6,26,6,20,6,19,6,19,34
65,420,5,6,23,7,21,8,19,9,17,35
65,410,6,6,21,8,20,8,18,8,17,34
65,398,6,7,20,8,18,9,17,9,17,34
65,449,8,8,22,9,21,9,21,9,19,36
65,425,7,8,20,8,19,8,19,8,19,35
65,411,7,7,20,8,19,8,19,8,18,35
65,438,8,8,22,9,22,9,19,9,19,36
65,447,7,8,22,8,21,9,20,9,20,36
65,386,6,7,20,7,20,8,18,8,18,33
65,426,5,6,19,8,18,8,18,9,18,35
65,390,5,5,18,6,18,6,17,7,17,33
65,448,8,8,19,10,19,10,19,10,19,36
65,409,6,7,20,7,18,8,17,8,17,35
65,421,6,7,22,8,21,9,20,9,20,36
65,428,7,7,19,9,19,9,19,9,18,35
65,423,8,8,22,8,21,8,18,8,18,36
65,380,4,5,20,6,18,6,17,7,17,33
65,436,7,7,21,8,21,8,20,8,20,35
65,428,7,7,19,7,18,9,18,9,18,35
65,462,7,8,23,8,23,8,22,9,20,36
65,409,5,7,23,7,19,7,19,8,19,33
65,439,7,7,23,8,22,9,19,10,19,36
65,418,7,7,21,7,20,7,19,8,17,34
65,447,5,6,23,7,22,9,21,9,20,35
65,426,8,9,18,9,18,10,18,10,18,36
65,456,8,8,23,9,22,9,22,9,21,36
65,407,6,6,22,7,19,7,18,8,18,35
65,395,4,6,19,7,19,7,17,8,16,34
65,431,7,7,20,8,19,9,19,9,18,36
65,422,7,7,21,8,18,9,18,9,18,35
65,438,7,7,21,8,20,9,18,9,18,35
65,414,6,7,26,8,19,8,19,8,19,35
65,408,7,7,20,7,19,7,19,8,18,35
65,384,6,7,18,7,17,7,17,8,16,31
65,430,7,8,20,8,20,8,19,8,19,35
65,439,4,4,20,5,20,6,20,7,20,35
65,435,5,6,23,7,20,7,20,7,19,35
65,375,6,6,18,7,18,7,18,8,16,33
65,417,6,7,21,8,20,8,19,8,18,34
65,428,6,8,22,8,19,8,18,8,18,35
65,396,6,6,19,6,19,6,18,7,17,35
65,452,7,8,22,8,22,8,20,8,19,36
65,421,7,7,21,7,20,7,20,8,19,33
65,449,6,8,23,9,21,10,20,10,18,35
65,425,6,7,20,7,19,7,18,7,18,35
65,415,6,7,22,7,19,8,19,8,19,34
65,412,5,6,20,7,18,7,18,8,17,34
65,377,4,6,19,6,18,6,18,7,17,32
65,374,3,5,20,5,17,7,17,7,16,32
